DUS,TXL,FF,1,737,1,10:52,1,12:24
DUS,CDG,FF,2,737,1,14:14,1,17:00
DUS,FRA,FF,3,737,1,10:49,1,15:37
DUS,LHR,FF,4,380,3,09:41,3,10:30
DUS,MAD,FF,5,737,3,09:24,3,10:25
DUS,BCN,FF,6,737,3,08:58,3,10:23
DUS,FCO,FF,7,380,3,08:24,3,08:28
TXL,DUS,FF,8,737,1,06:06,1,08:32
CDG,DUS,FF,9,737,1,05:24,1,06:06
FRA,DUS,FF,10,737,1,06:37,1,07:19
LHR,DUS,FF,11,380,3,07:27,3,08:08
MAD,DUS,FF,12,737,3,09:43,3,10:01
BCN,DUS,FF,13,737,3,04:30,3,05:15
FCO,DUS,FF,14,380,3,23:21,4,01:34
TXL,KRK,FF,15,380,1,21:00,2,01:34
